date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:35:41	38200/38200	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:40:46%20GMT	http://www.w3schools.com/tags/att_pattern.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_pattern.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:41	37197/37197	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:01%20GMT	http://www.w3schools.com/tags/att_placeholder.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_placeholder.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:41	36388/36388	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:04%20GMT	http://www.w3schools.com/tags/att_poster.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_poster.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:41	37555/37555	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:05%20GMT	http://www.w3schools.com/tags/att_preload.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_preload.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:41	37443/37443	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:07%20GMT	http://www.w3schools.com/tags/att_readonly.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_readonly.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:41	37598/37598	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:08%20GMT	http://www.w3schools.com/tags/att_rel.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_rel.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:41	38194/38194	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:09%20GMT	http://www.w3schools.com/tags/att_required.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_required.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:41	36214/36214	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:10%20GMT	http://www.w3schools.com/tags/att_reversed.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_reversed.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:41	36171/36171	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:12%20GMT	http://www.w3schools.com/tags/att_rows.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_rows.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:42	37722/37722	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:13%20GMT	http://www.w3schools.com/tags/att_rowspan.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_rowspan.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:42	36865/36865	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:21%20GMT	http://www.w3schools.com/tags/att_sandbox.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_sandbox.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:42	36658/36658	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:22%20GMT	http://www.w3schools.com/tags/att_scope.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_scope.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:42	36502/36502	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:24%20GMT	http://www.w3schools.com/tags/att_scoped.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_scoped.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:42	36433/36433	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:25%20GMT	http://www.w3schools.com/tags/att_selected.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_selected.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:42	36629/36629	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:25%20GMT	http://www.w3schools.com/tags/att_shape.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_shape.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:42	46401/46401	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Sep%202016%2014:57:52%20GMT	http://www.w3schools.com/cssref/css3_pr_column-fill.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/cssref/css3_pr_column-fill.html	(from http://www.w3schools.com/cssref/default.asp)
08:35:42	37443/37443	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:26%20GMT	http://www.w3schools.com/tags/att_size.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_size.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:42	36176/36176	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:30%20GMT	http://www.w3schools.com/tags/att_sizes.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_sizes.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:42	38060/38060	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:23:26%20GMT	http://www.w3schools.com/tags/att_span.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_span.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:43	36355/36355	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:31%20GMT	http://www.w3schools.com/tags/att_spellcheck.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_spellcheck.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:43	41810/41810	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:32%20GMT	http://www.w3schools.com/tags/att_src.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_src.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:43	36488/36488	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:33%20GMT	http://www.w3schools.com/tags/att_srcdoc.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_srcdoc.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:43	36525/36525	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:34%20GMT	http://www.w3schools.com/tags/att_srclang.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_srclang.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:43	36041/36041	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:35%20GMT	http://www.w3schools.com/tags/att_start.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_start.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:43	36605/36605	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:35%20GMT	http://www.w3schools.com/tags/att_step.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_step.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:43	36178/36178	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:23:37%20GMT	http://www.w3schools.com/tags/att_style.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_style.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:43	36219/36219	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:37%20GMT	http://www.w3schools.com/tags/att_tabindex.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_tabindex.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:43	39320/39320	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:38%20GMT	http://www.w3schools.com/tags/att_target.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_target.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:43	36177/36177	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:38%20GMT	http://www.w3schools.com/tags/att_title.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_title.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
08:35:43	36573/36573	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:39%20GMT	http://www.w3schools.com/tags/att_translate.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/att_translate.html	(from http://www.w3schools.com/tags/ref_attributes.asp)
